CleanTitle,title,media_type,popularity
Sex education,Sex Education,tv,33.4484
Trem-bala,Trem-Bala,movie,14.2804
La casa de Papel,La casa de papel,tv,26.9464
Corra,Corra Que a Polícia Vem Aí!,movie,17.8054
Pulp Fiction,Pulp Fiction: Tempo de Violência,movie,29.4907
Bastardos inglórios,Bastardos Inglórios,movie,19.8161
Narcos,Narcos,tv,36.9398
Como vender drogas online (rápido),Como vender drogas online (rápido),tv,6.5764
Bojack Horseman,BoJack Horseman,tv,47.526
Diário de um banana,Diário de um Banana,movie,5.3217
Shrek 1,"Shrek 1 - ""Alheyuya"" (Josan)",movie,0.0409
Uma noite no Museu,Uma Noite no Museu,movie,11.7073
Uma aventura lego,Uma Aventura Lego,movie,9.1594
O incrível mundo de gumball,O Incrível Mundo de Gumball,tv,39.6359
Shrek 2,Shrek 2,movie,14.736
Cyberpunk: edgerunners,Cyberpunk: Mercenários,tv,18.7811
Cães de guerra,Cães de Guerra,movie,6.892
Fall guy,Duro na Queda,tv,24.2224
A rede social,A Rede Social,movie,10.8887
Prison Break,Prison Break: Em Busca da Verdade,tv,92.7898
The walking dead,The Walking Dead,tv,117.8544
O regresso,Terror em Silent Hill: Regresso Para o Inferno,movie,106.8256
As vantagens de ser invisivel,As Vantagens de Ser Invisível,movie,7.5104
Zumbilândia,Zumbilândia,movie,8.8488
Zumbilândia Atire duas vezes,Zumbilândia: Atire Duas Vezes,movie,5.5492
Neon Genesis Evangelion,Neon Genesis Evangelion,tv,27.3149
O irlandês,O Irlandês,movie,9.338
Matrix,Matrix,movie,28.9081
Matrix 2,Matrix Reloaded,movie,12.4412
Matrix 3,Armitage III: Dual-Matrix,movie,1.9508
Matrix 4,Matrix Resurrections,movie,10.3102
13 reasons why,13 Reasons Why,tv,24.307
Flash,Flash,tv,114.038
Cobra kai,Cobra Kai,tv,50.2397
Tropa de elite,A Unidade: Tropa de Elite,tv,27.9045
Batman Begins,Batman Begins,movie,15.199
Peaky Blinders,"Peaky Blinders: Sangue, Apostas e Navalhas",tv,275.332
Clube da Luta,Clube da Luta,movie,28.7569
Donnie Darko,Donnie Darko,movie,10.778
Blade Runner 2049,Blade Runner 2049,movie,39.5215
Interestelar,Interestelar,movie,50.788
O Lobo de Wall Street,O Lobo de Wall Street,movie,30.5497
Baby Driver,Em Ritmo de Fuga,movie,11.8153
Brooklyn 99,Brooklyn Nine-Nine: Lei e Desordem,tv,68.7316
Daredevil,Demolidor: O Homem Sem Medo,movie,8.0111
Django Livre,Django Livre,movie,15.7983
Akira,Akira,movie,9.1104
