,netflix_title,title,genre_ids,poster_path,media_type,popularity,age_of_title,vote_average,vote_count,run_time,num_seasons,origin_country,keywords,director,content_rating,is_natalino,is_super_heroi,is_dorama,is_kids,is_dystopian,is_based_on_book,is_anime
3298,Wild District,Distrito Selvagem,[18],https://image.tmdb.org/t/p/w500/kcp2pHSrq8FsPzhOXbYH0TSFGLk.jpg,tv,2.7543,8,7.3,156,[50],2,['CO'],"['undercover', 'jungle', 'government corruption', 'bogota, colombia']",Cristian Conti,5,0,0,0,0,0,0,0
3299,U Turn,U Turn,"[53, 27, 80]",https://image.tmdb.org/t/p/w500/6QyGFgORI84a7vYVG2OQZZwFD3M.jpg,movie,2.802,8,6.84,53,129,,['IN'],"['remake', 'vengeful ghost', 'flyover']",Pawan Kumar,-1,0,0,0,0,0,0,0
3300,Burning Cane,Burning Cane,[18],https://image.tmdb.org/t/p/w500/9kxkqYm7pX22QPoSaRroiBifwGO.jpg,movie,1.2476,7,5.7,12,77,,['US'],[],Phillip Michael Youmans,-1,0,0,0,0,0,0,0
3301,SCAMS,Scams,"[10759, 80, 18]",https://image.tmdb.org/t/p/w500/rsmKjTOM9ksgalH0pWQs0RKoyYE.jpg,tv,2.1661,7,5.8,6,[24],1,['JP'],"['suicide', 'robbery', 'police brutality', 'restaurant', 'golf', 'insurance fraud', 'boss', 'playground', 'mafia boss', 'swimming pool', 'crime boss', 'house arrest', 'car crash', 'jail', 'cancer', 'torture', 'cell phone', 'gang violence', 'phone call', 'cybercrime', 'out of work', 'tyrannical boss', 'scammer', 'scam call center']",Daisuke Suzuki,-1,0,0,0,0,0,0,0
3302,Shadow,Shadowhunters: Instrumentos Mortais,"[10759, 18, 10765]",https://image.tmdb.org/t/p/w500/1OIeVKb5ZdjPfZNtCoUYkH1bTQK.jpg,tv,20.4963,10,7.608,1188,[42],3,['US'],"['based on novel or book', 'magic', 'vampire', 'supernatural', 'werewolf', 'demon', 'supernatural creature', 'warlock', 'shadowhunter', 'fighting supernatural', 'rune', 'based on young adult novel']",Ed Decter,3,0,0,0,0,0,1,0
3303,Luccas Neto in: Summer Camp,Luccas Neto em: Acampamento de Férias,[35],https://image.tmdb.org/t/p/w500/qZPBUSqcJ2LbKYEitosojSLclkx.jpg,movie,0.0945,7,7.7,21,87,,['BR'],[],Lucas Margutti,0,0,0,0,0,0,0,0
3304,Sam & Cat,Sam e Cat,"[35, 10762, 10751]",https://image.tmdb.org/t/p/w500/eBYDJlWtVM7JVDhN8pRDuITNDKC.jpg,tv,9.8467,13,7.6,411,[23],1,['US'],"['roommates', 'babysitter', 'spin off']",Dan Schneider,0,0,0,0,0,0,0,0
3305,Seth Meyers: Lobby Baby,Seth Meyers: Lobby Baby,[35],https://image.tmdb.org/t/p/w500/cOkN2Mfw76HkZRvS3kQqDeTqhrf.jpg,movie,0.5976,7,7.0,75,61,,['US'],['stand-up comedy'],Neal Brennan,-1,0,0,0,0,0,0,0
3306,The End of the F***ing World,The End of the F***ing World,"[35, 18, 80]",https://image.tmdb.org/t/p/w500/zQ5fG5NAQ5K8cMm58bxQNwUEbMj.jpg,tv,11.3496,9,8.033,3496,,2,['GB'],"['psychopath', 'road trip', 'dark comedy', 'coming of age', 'rebellion', 'teen drama', 'deadpan', 'provocative', 'teenager', 'offbeat', 'bold']",Jonathan Entwistle,5,0,0,0,0,0,0,0
3307,The Lovers,The Lovers,"[28, 12, 878, 10749]",https://image.tmdb.org/t/p/w500/6esL8UH2sXXqbfbaV6bFEUBCDOr.jpg,movie,0.6151,11,4.8,75,109,,"['AU', 'BE', 'IN']",[],Roland Joffé,5,0,0,0,0,0,0,0
3308,Tune in for Love,Sintonizada em Você,"[10749, 18]",https://image.tmdb.org/t/p/w500/uPXkdOyEUBfYsLWTZ0KQEo3z7HB.jpg,movie,1.8181,7,7.741,317,122,,['KR'],"['radio', 'romance', '1990s']",Jung Ji-woo,-1,0,0,0,0,0,0,0
3309,Undercover Brother 2,Com a Cor e a Coragem 2,"[35, 28]",https://image.tmdb.org/t/p/w500/tNxNpXrOYJSHRKQ9M0yJkXKK2ed.jpg,movie,0.4662,7,4.4,31,84,,['US'],['spy'],Leslie Small,5,0,0,0,0,0,0,0
3310,Meet the Adebanjos,Meet The Adebanjos,[35],https://image.tmdb.org/t/p/w500/ecAnIpKMzri66Pk5rl0SrC78SbD.jpg,tv,4.6177,14,2.0,2,[25],3,"['NG', 'GB']","['household', 'family', 'sitcom', 'south london', 'clash of cultures', 'old fashioned', 'traditional values']",Andrew Osayemi,1,0,0,0,0,0,0,0
3311,Minimalism: A Documentary About the Important Things,Minimalismo: Um documentário sobre as coisas importantes,[99],https://image.tmdb.org/t/p/w500/2QXHf52RxGbw1PYrCtbD99iZdBV.jpg,movie,0.5734,11,6.574,399,78,,['US'],"['homelessness', 'promotion', 'tiny home', 'minimalism', 'declutter']",Matt D'Avella,-1,0,0,0,0,0,0,0
3312,Oththa Seruppu Size 7,ஒத்த செருப்பு அளவு -7,"[53, 18]",https://image.tmdb.org/t/p/w500/9DHX4Ip2Kp7jkL7EHYWCw5H9HZ5.jpg,movie,0.201,7,8.0,18,105,,['IN'],[],R. Parthiban,-1,0,0,0,0,0,0,0
3313,The Devil Next Door,O Monstro ao Lado,"[99, 80]",https://image.tmdb.org/t/p/w500/sLv7OzCqqCoMG2l464BNXhwni3q.jpg,tv,1.3642,7,7.12,133,[44],1,"['IL', 'US']","['germany', 'israel', 'holocaust (shoah)', 'world war ii', 'nazi', 'trial', 'miniseries', 'war crime', 'cleveland, ohio']",,5,0,0,0,0,0,0,0
3314,100 Things to do Before High School,100 Coisas Para Fazer Antes do High School,"[35, 10751]",https://image.tmdb.org/t/p/w500/ntgFg3wq5EqKRAy9IQKIWQqMQv5.jpg,tv,4.8764,12,7.7,40,[23],1,['US'],"['school friend', 'friends', 'middle school', 'teen drama']",Scott Fellows,0,0,0,0,0,0,0,0
3315,A Fairly Odd Summer,Os Padrinhos Magicos no Paraiso,"[14, 35, 16, 10751, 10770]",https://image.tmdb.org/t/p/w500/d1u7OUGQGP9okzgUPiLLZeRVgPQ.jpg,movie,1.2241,12,5.646,79,66,,"['US', 'CA']","['hawaii', 'based on cartoon', 'summer vacation', 'live action and animation', 'fairies']",Savage Steve Holland,0,0,0,0,0,0,0,0
3316,Bella and the Bulldogs,Bella e os Bulldogs,"[10751, 35]",https://image.tmdb.org/t/p/w500/tiVLc4ICHDq68C6Z5v24ggAhCHa.jpg,tv,6.8149,11,7.698,172,[30],2,['US'],"['american football', 'texas', 'cheerleader', 'sports', 'cheerleading', 'middle school', 'sitcom']",Gabriel Garza,0,0,0,0,0,0,0,0
3317,Big Time Movie,Big Time Rush: O Filme,"[35, 10770, 10402, 9648]",https://image.tmdb.org/t/p/w500/e7rfSsdpKMI0JF4H2UqpmQ3xVlT.jpg,movie,1.5316,14,7.5,177,68,,['US'],"['london, england', 'dreams', 'spy', 'british spy', 'dream come true', 'mystery']",Savage Steve Holland,-1,0,0,0,0,0,0,0
3318,Escape from Mr. Lemoncello’s Library,Fuga da Biblioteca do Sr. Lemoncello,"[10751, 14, 10770]",https://image.tmdb.org/t/p/w500/fXlVRhyFlxk1rKlZBQEPUKbHYHs.jpg,movie,0.4757,9,5.9,55,68,,"['CA', 'US']",['magic'],Scott McAboy,0,0,0,0,0,0,0,0
3319,Hey Arnold! The Jungle Movie,Ei Arnold! Na Selva: O Filme,"[10751, 35, 16, 12, 10770, 14]",https://image.tmdb.org/t/p/w500/fxz5Y0ZjAfpkMSWr78u4ZkWeOs5.jpg,movie,1.3322,8,7.6,194,81,,['US'],"['sequel', 'based on cartoon', 'series finale', 'based on tv series']",Raymie Muzquiz,-1,0,0,0,0,0,0,0
3320,Jinxed,Jinxed,"[10751, 14, 35, 10770]",https://image.tmdb.org/t/p/w500/v2ClGoeLyX4Vmgzk6Q80OANCFi6.jpg,movie,0.8365,13,6.627,114,75,,,"['witch', 'bad luck', 'family', 'luck', 'family curse', 'malediction', ""murphy's law""]",Stephen Herek,0,0,0,0,0,0,0,0
3321,LEGENDS OF THE HIDDEN TEMPLE,Lendas do Templo Perdido,"[10764, 10751, 10762]",https://image.tmdb.org/t/p/w500/jsUpyxfYgatd4UKZKfS6WZlkEhI.jpg,tv,4.184,33,7.5,25,[24],3,['US'],"['game show', 'maya civilization', 'battle', 'skills challenge', 'ancient temple', 'history']",,0,0,0,0,0,0,0,0
3322,"Liar, Liar, Vampire",Um Vampiro Mentiroso,"[35, 10770]",https://image.tmdb.org/t/p/w500/2eWU32C4s1omfG8Cm4UKY4UE7XL.jpg,movie,0.7921,11,6.937,95,66,,"['CA', 'US']","['high school', 'vampire', 'school', 'high school student', 'teenager']",Vince Marcello,0,0,0,0,0,0,0,0
3323,The Boy Who Cried Werewolf,Castelo do Medo,"[10751, 14, 10770, 35]",https://image.tmdb.org/t/p/w500/mpu4EAIQCCMVrd3cNiYwhobcMHs.jpg,movie,2.5878,16,6.408,310,86,,"['US', 'CA']","['teen movie', 'werewolf', 'family', 'romania', 'secret', 'teenager']",Eric Bross,0,0,0,0,0,0,0,0
3324,The Massively Mixed-Up Middle School Mystery,The Massively Mixed-Up Middle School Mystery,"[35, 9648, 10770]",https://image.tmdb.org/t/p/w500/x9rlUQVHjsYji0saP5wKHfSSbhh.jpg,movie,0.4961,11,0.0,0,39,,,"['prank', 'middle school']",Will Eisenberg,-1,0,0,0,0,0,0,0
3325,Victorious,Brilhante Victória,"[35, 10762]",https://image.tmdb.org/t/p/w500/eyHYGC3jwOj8tkGeC2x4MHmL8gk.jpg,tv,22.5135,16,8.2,1694,[24],4,['US'],"['aspiring singer', 'singer', 'school', 'teen comedy', 'arts school', 'teenage comedy', 'teenager', 'earnest']",Dan Schneider,0,0,0,0,0,0,0,0
3326,A Remarkable Tale,Nunca Visto,[35],https://image.tmdb.org/t/p/w500/pkvM5TA9S2haJBta1P8p9zzhYd.jpg,movie,0.1698,7,5.6,70,93,,['ES'],[],Marina Seresesky,1,0,0,0,0,0,0,0
3327,A Year In Space,Um Ano no Espaço,[99],https://image.tmdb.org/t/p/w500/wJ4dyAYhqzkEHL87wxeRCXZEHtN.jpg,movie,0.2765,10,7.375,8,56,,['US'],"['earth', 'space', 'astronaut', 'american', 'endurance', 'space station', 'international space station (iss)']",Jonathan Halperin,-1,0,0,0,0,0,0,0
